,x,y,z
0,-8.633390667554848e-10,2.9912767852390233e-05,1.0003591972087726
1,-7.674125037826531e-10,2.658912697990243e-05,1.0003192864077979
2,-6.714859408098215e-10,2.3265486107414624e-05,1.0002793756068231
3,-5.755593778369899e-10,1.9941845234926823e-05,1.0002394648058484
4,-4.796328148641583e-10,1.661820436243902e-05,1.0001995540048736
5,-3.837062518913265e-10,1.3294563489951214e-05,1.000159643203899
6,-2.8777968891849493e-10,9.970922617463413e-06,1.0001197324029243
7,-1.9185312594566336e-10,6.647281744975609e-06,1.0000798216019495
8,-9.592656297283168e-11,3.3236408724878044e-06,1.0000399108009748
9,0.0,0.0,1.0
10,0.0,0.0,1.0
