,x,y,z,des_x,des_y,des_z,qw,qx,qy,qz,des_qw,des_qx,des_qy,des_qz
0,0.9924989582806224,1.0012128983110011,0.06742058606608964,0.9924989582806224,1.0012128983110011,0.06742058606608964,-0.5145737684767512,0.5070870809342416,-0.4853071260091064,0.49249723104806004,-0.5145737684767512,0.5070870809342416,-0.4853071260091064,0.49249723104806004
1,0.9794434132474849,0.9910996367119002,0.07027481318984384,0.9794434132474849,0.9910996367119002,0.07027481318984384,-0.5197212801098569,0.5018099858071249,-0.49030728692919634,0.4875195314337218,-0.5197212801098569,0.5018099858071249,-0.49030728692919634,0.4875195314337218
2,0.9663878682143472,0.9809863751127991,0.07312904031359804,0.9663878682143472,0.9809863751127991,0.07312904031359804,-0.5249192540619417,0.4963700711866397,-0.49535802645664945,0.48238672739846217,-0.5249192540619417,0.4963700711866397,-0.49535802645664945,0.48238672739846217
3,0.9533323231812096,0.9708731135136981,0.07598326743735226,0.9533323231812096,0.9708731135136981,0.07598326743735226,-0.5301668714830391,0.4907612038829697,-0.5004586471494732,0.4770929381562296,-0.5301668714830391,0.4907612038829697,-0.5004586471494732,0.4770929381562296
4,0.940276778148072,0.960759851914597,0.07883749456110646,0.940276778148072,0.960759851914597,0.07883749456110646,-0.5354629604106123,0.4849772044983952,-0.505608114296641,0.47163223374003993,-0.5354629604106123,0.4849772044983952,-0.505608114296641,0.47163223374003993
5,0.9272212331149344,0.950646590315496,0.08169172168486066,0.9272212331149344,0.950646590315496,0.08169172168486066,-0.540805975093274,0.47901186640644744,-0.5108050358648425,0.4659986528739561,-0.540805975093274,0.47901186640644744,-0.5108050358648425,0.4659986528739561
6,0.9141656880817968,0.9405333287163951,0.08454594880861487,0.9141656880817968,0.9405333287163951,0.08454594880861487,-0.5461939751117549,0.4728589772928021,-0.5160476422152108,0.4601862232937298,-0.5461939751117549,0.4728589772928021,-0.5160476422152108,0.4601862232937298
7,0.9011101430486592,0.930420067117294,0.08740017593236907,0.9011101430486592,0.930420067117294,0.08740017593236907,-0.5516246045084984,0.4665123434118522,-0.5213337657901532,0.45418898466638596,-0.5516246045084984,0.4665123434118522,-0.5213337657901532,0.45418898466638596
8,0.8880545980155216,0.920306805518193,0.09025440305612327,0.8880545980155216,0.920306805518193,0.09025440305612327,-0.5570950711702835,0.45996581670005854,-0.5266608210021796,0.44800101424721683,-0.5570950711702835,0.45996581670005854,-0.5266608210021796,0.44800101424721683
9,0.874999052982384,0.9101935439190919,0.09310863017987747,0.874999052982384,0.9101935439190919,0.09310863017987747,-0.5626021267430205,0.4532133248692116,-0.5320257845901383,0.44161645539593813,-0.5626021267430205,0.4532133248692116,-0.5320257845901383,0.44161645539593813
10,0.8619435079492463,0.9000802823199909,0.09596285730363169,0.8619435079492463,0.9000802823199909,0.09596285730363169,-0.5681420473938583,0.44624890457892435,-0.537425176743039,0.4350295490514847,-0.5681420473938583,0.44624890457892435,-0.537425176743039,0.4350295490514847
11,0.8488879629161088,0.8899670207208898,0.09881708442738589,0.8488879629161088,0.8899670207208898,0.09881708442738589,-0.5737106157723243,0.43906673775738875,-0.5428550433270799,0.4282346682364461,-0.5737106157723243,0.43906673775738875,-0.5428550433270799,0.4282346682364461
12,0.8358324178829712,0.8798537591217889,0.10167131155114009,0.8358324178829712,0.8798537591217889,0.10167131155114009,-0.5793031045585414,0.43166119110201545,-0.5483109395867842,0.42122635562685623,-0.5793031045585414,0.43166119110201545,-0.5483109395867842,0.42122635562685623
13,0.8227768728498336,0.8697404975226879,0.1045255386748943,0.8227768728498336,0.8697404975226879,0.1045255386748943,-0.5849142620216408,0.42402685874653556,-0.5537879157253416,0.41399936418043776,-0.5849142620216408,0.42402685874653556,-0.5537879157253416,0.41399936418043776
14,0.8097213278166959,0.8596272359235868,0.1073797657986485,0.8097213278166959,0.8596272359235868,0.1073797657986485,-0.5905383000440659,0.41615860802804483,-0.5592805048011826,0.4065487007660451,-0.5905383000440659,0.41615860802804483,-0.5592805048011826,0.4065487007660451
15,0.7966657827835584,0.8495139743244858,0.11023399292240271,0.7966657827835584,0.8495139743244858,0.11023399292240271,-0.5961688850961651,0.40805162822609914,-0.5647827134061311,0.39886967267872464,-0.5961688850961651,0.40805162822609914,-0.5647827134061311,0.39886967267872464
16,0.7836102377504208,0.8394007127253847,0.1130882200461569,0.7836102377504208,0.8394007127253847,0.1130882200461569,-0.6017991326686772,0.39970148207631523,-0.5702880156136768,0.39095793685848035,-0.6017991326686772,0.39970148207631523,-0.5702880156136768,0.39095793685848035
17,0.7705546927172832,0.8292874511262838,0.11594244716991112,0.7705546927172832,0.8292874511262838,0.11594244716991112,-0.6074216056866711,0.39110415978330026,-0.5757893507022648,0.38280955155676194,-0.6074216056866711,0.39110415978330026,-0.5757893507022648,0.38280955155676194
18,0.7574991476841456,0.8191741895271827,0.11879667429366532,0.7574991476841456,0.8191741895271827,0.11879667429366532,-0.6130283174353202,0.3822561351727339,-0.5812791251662205,0.3744210301134518,-0.6130283174353202,0.3822561351727339,-0.5812791251662205,0.3744210301134518
19,0.744443602651008,0.8090609279280817,0.12165090141741952,0.744443602651008,0.8090609279280817,0.12165090141741952,-0.6186107395235854,0.3731544235311408,-0.5867492195240921,0.36578939641970715,-0.6186107395235854,0.3731544235311408,-0.5867492195240921,0.36578939641970715
20,0.7313880576178704,0.7989476663289807,0.12450512854117374,0.7313880576178704,0.7989476663289807,0.12450512854117374,-0.624159815394481,0.3637966405857844,-0.5921910004188913,0.3569122415497927,-0.624159815394481,0.3637966405857844,-0.5921910004188913,0.3569122415497927
21,0.7183325125847329,0.7888344047298796,0.12735935566492793,0.7183325125847329,0.7888344047298796,0.12735935566492793,-0.6296659798581896,0.3541810619781937,-0.5975953384750815,0.34778778094993157,-0.6296659798581896,0.3541810619781937,-0.5975953384750815,0.34778778094993157
22,0.7052769675515952,0.7787211431307787,0.13021358278868214,0.7052769675515952,0.7787211431307787,0.13021358278868214,-0.6351191850751472,0.34430668248562374,-0.6029526323315443,0.33841491147655806,-0.6351191850751472,0.34430668248562374,-0.6029526323315443,0.33841491147655806
23,0.6922214225184575,0.7686078815316776,0.13306780991243633,0.6922214225184575,0.7686078815316776,0.13306780991243633,-0.6405089333489477,0.3341732741482605,-0.6082528392067102,0.32879326748308096,-0.6405089333489477,0.3341732741482605,-0.6082528392067102,0.32879326748308096
24,0.67916587748532,0.7584946199325766,0.13592203703619055,0.67916587748532,0.7584946199325766,0.13592203703619055,-0.6458243170024981,0.3237814423697443,-0.6134855122706309,0.3189232750666946,-0.6458243170024981,0.3237814423697443,-0.6134855122706309,0.3189232750666946
25,0.6661103324521824,0.7483813583334755,0.13877626415994476,0.6661103324521824,0.7483813583334755,0.13877626415994476,-0.6510540655049329,0.31313267897853403,-0.6186398449985099,0.3088062035086804,-0.6510540655049329,0.31313267897853403,-0.6186398449985099,0.3088062035086804
26,0.6530547874190448,0.7382680967343745,0.14163049128369895,0.6530547874190448,0.7382680967343745,0.14163049128369895,-0.6561865998916617,0.3022294111720357,-0.6237047225613979,0.2984442128771049,-0.6561865998916617,0.3022294111720357,-0.6237047225613979,0.2984442128771049
27,0.6399992423859071,0.7281548351352736,0.14448471840745317,0.6399992423859071,0.7281548351352736,0.14448471840745317,-0.6612100943767518,0.2910750452186895,-0.6286687801733889,0.28784039671409595,-0.6612100943767518,0.2910750452186895,-0.6286687801733889,0.28784039671409595
28,0.6269436973527696,0.7180415735361725,0.14733894553120735,0.6269436973527696,0.7180415735361725,0.14733894553120735,-0.6661125448977495,0.2796740037697797,-0.6335204681627425,0.27699881870521487,-0.6661125448977495,0.2796740037697797,-0.6335204681627425,0.27699881870521487
29,0.613888152319632,0.7079283119370715,0.15019317265496157,0.613888152319632,0.7079283119370715,0.15019317265496157,-0.6708818441611363,0.26803175563676784,-0.6382481233697808,0.2659245422298926,-0.6708818441611363,0.26803175563676784,-0.6382481233697808,0.2659245422298926
30,0.6008326072864945,0.6978150503379705,0.1530473997787158,0.6008326072864945,0.6978150503379705,0.1530473997787158,-0.6755058625760697,0.25615483692512053,-0.6428400463011451,0.2546236517230214,-0.6755058625760697,0.25615483692512053,-0.6428400463011451,0.2546236517230214
31,0.5877770622533568,0.6877017887388694,0.15590162690246998,0.5877770622533568,0.6877017887388694,0.15590162690246998,-0.6799725342800119,0.2440508624848377,-0.6472845832928894,0.24310326484145642,-0.6799725342800119,0.2440508624848377,-0.6472845832928894,0.24310326484145642
32,0.5747215172202191,0.6775885271397684,0.15875585402622416,0.5747215172202191,0.6775885271397684,0.15875585402622416,-0.68426994727833,0.23172852674301153,-0.6515702127597115,0.2313715345272389,-0.68426994727833,0.23172852674301153,-0.6515702127597115,0.2313715345272389
33,0.5616659721870816,0.6674752655406674,0.16161008114997838,0.5616659721870816,0.6674752655406674,0.16161008114997838,-0.6883864365476925,0.21919759312534637,-0.655685634440774,0.2194376401924349,-0.6883864365476925,0.21919759312534637,-0.655685634440774,0.2194376401924349
34,0.548610427153944,0.6573620039415664,0.1644643082737326,0.548610427153944,0.6573620039415664,0.1644643082737326,-0.692310678797218,0.20646887145066267,-0.659619860400933,0.20731176741776783,-0.692310678797218,0.20646887145066267,-0.659619860400933,0.20731176741776783
35,0.5355548821208064,0.6472487423424653,0.1673185353974868,0.5355548821208064,0.6472487423424653,0.1673185353974868,-0.6960317874491418,0.19355418289235635,-0.6633623064167214,0.1950050757562802,-0.6960317874491418,0.19355418289235635,-0.6633623064167214,0.1950050757562802
36,0.5224993370876688,0.6371354807433643,0.170172762521241,0.5224993370876688,0.6371354807433643,0.170172762521241,-0.6995394062992163,0.18046631233921517,-0.6669028822759255,0.18252965446000294,-0.6995394062992163,0.18046631233921517,-0.6669028822759255,0.18252965446000294
37,0.5094437920545312,0.6270222191442634,0.1730269896449952,0.5094437920545312,0.6270222191442634,0.1730269896449952,-0.702823800252479,0.1672189482488111,-0.6702320794541022,0.16989846619629884,-0.702823800252479,0.1672189482488111,-0.6702320794541022,0.16989846619629884
38,0.4963882470213936,0.6169089575451623,0.1758812167687494,0.4963882470213936,0.6169089575451623,0.1758812167687494,-0.7058759415075969,0.15382661036224762,-0.6733410546060747,0.15712527908393303,-0.7058759415075969,0.15382661036224762,-0.6733410546060747,0.15712527908393303
39,0.48333270198825595,0.6067956959460612,0.17873544389250362,0.48333270198825595,0.6067956959460612,0.17873544389250362,-0.7086875895864522,0.1403045659304052,-0.6762217073289217,0.14422458764851123,-0.7086875895864522,0.1403045659304052,-0.6762217073289217,0.14422458764851123
40,0.4702771569551184,0.5966824343469602,0.18158967101625784,0.4702771569551184,0.5966824343469602,0.18158967101625784,-0.7112513636768824,0.12666873537913845,-0.6788667507172675,0.13121152356330593,-0.7112513636768824,0.12666873537913845,-0.6788667507172675,0.13121152356330593
41,0.45722161192198074,0.5865691727478592,0.18444389814001202,0.45722161192198074,0.5865691727478592,0.18444389814001202,-0.71356080587535,0.11293558860384185,-0.6812697733417383,0.11810175729480595,-0.71356080587535,0.11293558860384185,-0.6812697733417383,0.11810175729480595
42,0.4441660668888432,0.5764559111487582,0.1872981252637662,0.4441660668888432,0.5764559111487582,0.1872981252637662,-0.7156104340804795,0.09912203332217666,-0.6834252914351864,0.10491139200275436,-0.7156104340804795,0.09912203332217666,-0.6834252914351864,0.10491139200275436
